,customer_id,address,postcode,state,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,owns_car,transaction_id,product_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,name,year,month,day,day_of_week,quarter,age,total_profit,age_range,adresses,lat,long
1061,186,0059 Brentwood Road,4560,Queensland,Mireielle,Jeppe,Female,46,1974-05-06,Software Test Engineer I,Financial Services,No,14302,11,2017-02-26,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,Mireielle Jeppe,2017,2,26,Sunday,2017Q1,49,509.97,40-49,4560 Queensland Australia,-26.6077924,152.9323602
1069,188,4179 Carioca Terrace,2220,New South Wales,Audry,Seine,Female,54,1975-06-22,Safety Technician II,Property,Yes,15279,95,2017-12-15,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,Audry Seine,2017,12,15,Friday,2017Q4,48,139.2299999999999,40-49,2220 New South Wales Australia,-33.9583688,151.0995447
1070,188,4179 Carioca Terrace,2220,New South Wales,Audry,Seine,Female,54,1975-06-22,Safety Technician II,Property,Yes,15732,98,2017-12-01,1.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,Audry Seine,2017,12,1,Friday,2017Q4,48,693.76,40-49,2220 New South Wales Australia,-33.9583688,151.0995447
1071,188,4179 Carioca Terrace,2220,New South Wales,Audry,Seine,Female,54,1975-06-22,Safety Technician II,Property,Yes,6243,9,2017-11-21,0.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,Audry Seine,2017,11,21,Tuesday,2017Q4,48,133.7800000000002,40-49,2220 New South Wales Australia,-33.9583688,151.0995447
1072,188,4179 Carioca Terrace,2220,New South Wales,Audry,Seine,Female,54,1975-06-22,Safety Technician II,Property,Yes,14286,0,2017-10-23,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,Audry Seine,2017,10,23,Monday,2017Q4,48,17.869999999999997,40-49,2220 New South Wales Australia,-33.9583688,151.0995447
1073,188,4179 Carioca Terrace,2220,New South Wales,Audry,Seine,Female,54,1975-06-22,Safety Technician II,Property,Yes,18110,27,2017-09-07,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,Audry Seine,2017,9,7,Thursday,2017Q3,48,903.11,40-49,2220 New South Wales Australia,-33.9583688,151.0995447
1074,188,4179 Carioca Terrace,2220,New South Wales,Audry,Seine,Female,54,1975-06-22,Safety Technician II,Property,Yes,3066,72,2017-07-24,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,Audry Seine,2017,7,24,Monday,2017Q3,48,771.12,40-49,2220 New South Wales Australia,-33.9583688,151.0995447
1075,189,59265 Sullivan Junction,3031,Victoria,Umberto,Torricella,Male,73,1981-07-19,Safety Technician I,Financial Services,No,10274,24,2017-12-27,0.0,Approved,Solex,Road,medium,large,1777.8,820.78,Umberto Torricella,2017,12,27,Wednesday,2017Q4,41,957.02,40-49,3031 Victoria Australia,-37.790896,144.9198932
1076,189,59265 Sullivan Junction,3031,Victoria,Umberto,Torricella,Male,73,1981-07-19,Safety Technician I,Financial Services,No,18050,39,2017-12-19,1.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,Umberto Torricella,2017,12,19,Tuesday,2017Q4,41,1230.27,40-49,3031 Victoria Australia,-37.790896,144.9198932
1077,189,59265 Sullivan Junction,3031,Victoria,Umberto,Torricella,Male,73,1981-07-19,Safety Technician I,Financial Services,No,15745,15,2017-05-30,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,Umberto Torricella,2017,5,30,Tuesday,2017Q2,41,209.84000000000003,40-49,3031 Victoria Australia,-37.790896,144.9198932
1078,189,59265 Sullivan Junction,3031,Victoria,Umberto,Torricella,Male,73,1981-07-19,Safety Technician I,Financial Services,No,14408,3,2017-05-14,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,Umberto Torricella,2017,5,14,Sunday,2017Q2,41,1702.5499999999997,40-49,3031 Victoria Australia,-37.790896,144.9198932
1079,189,59265 Sullivan Junction,3031,Victoria,Umberto,Torricella,Male,73,1981-07-19,Safety Technician I,Financial Services,No,2613,26,2017-03-22,0.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,Umberto Torricella,2017,3,22,Wednesday,2017Q1,41,1230.3000000000002,40-49,3031 Victoria Australia,-37.790896,144.9198932
1080,190,7 Warbler Point,2250,New South Wales,Hayley,Girardengo,Female,42,1979-02-04,Registered Nurse,Health,No,8510,19,2017-12-01,1.0,Cancelled,OHM Cycles,Road,high,large,12.01,7.21,Hayley Girardengo,2017,12,1,Friday,2017Q4,44,4.8,40-49,2250 New South Wales Australia,-33.3502247,151.1869325
1081,190,7 Warbler Point,2250,New South Wales,Hayley,Girardengo,Female,42,1979-02-04,Registered Nurse,Health,No,2567,28,2017-06-06,1.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,Hayley Girardengo,2017,6,6,Tuesday,2017Q2,44,133.7800000000002,40-49,2250 New South Wales Australia,-33.3502247,151.1869325
1082,190,7 Warbler Point,2250,New South Wales,Hayley,Girardengo,Female,42,1979-02-04,Registered Nurse,Health,No,15455,52,2017-04-11,0.0,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,Hayley Girardengo,2017,4,11,Tuesday,2017Q2,44,450.77,40-49,2250 New South Wales Australia,-33.3502247,151.1869325
1083,190,7 Warbler Point,2250,New South Wales,Hayley,Girardengo,Female,42,1979-02-04,Registered Nurse,Health,No,19223,5,2017-01-10,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,Hayley Girardengo,2017,1,10,Tuesday,2017Q1,44,114.93,40-49,2250 New South Wales Australia,-33.3502247,151.1869325
1085,192,0 Bay Center,3196,Victoria,Goldi,Osler,Female,2,1978-11-19,Junior Executive,Health,Yes,11047,40,2017-10-12,0.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,Goldi Osler,2017,10,12,Thursday,2017Q4,44,583.2700000000001,40-49,3196 Victoria Australia,-38.048116,145.1210303
1086,192,0 Bay Center,3196,Victoria,Goldi,Osler,Female,2,1978-11-19,Junior Executive,Health,Yes,9985,91,2017-05-15,0.0,Approved,Solex,Standard,medium,medium,100.35,75.26,Goldi Osler,2017,5,15,Monday,2017Q2,44,25.08999999999999,40-49,3196 Victoria Australia,-38.048116,145.1210303
1087,192,0 Bay Center,3196,Victoria,Goldi,Osler,Female,2,1978-11-19,Junior Executive,Health,Yes,3013,82,2017-01-08,0.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,Goldi Osler,2017,1,8,Sunday,2017Q1,44,459.46000000000015,40-49,3196 Victoria Australia,-38.048116,145.1210303
1088,192,0 Bay Center,3196,Victoria,Goldi,Osler,Female,2,1978-11-19,Junior Executive,Health,Yes,19522,4,2017-01-04,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,Goldi Osler,2017,1,4,Wednesday,2017Q1,44,451.6500000000001,40-49,3196 Victoria Australia,-38.048116,145.1210303
1089,193,10878 Waywood Way,4352,Queensland,Foss,Hardes,Male,13,1964-07-22,Recruiting Manager,Manufacturing,Yes,5819,77,2017-12-06,1.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,Foss Hardes,2017,12,6,Wednesday,2017Q4,58,445.2099999999999,50-59,4352 Queensland Australia,-27.4595003,151.9470976
1090,193,10878 Waywood Way,4352,Queensland,Foss,Hardes,Male,13,1964-07-22,Recruiting Manager,Manufacturing,Yes,14471,16,2017-09-22,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,Foss Hardes,2017,9,22,Friday,2017Q3,58,182.81000000000017,50-59,4352 Queensland Australia,-27.4595003,151.9470976
1091,193,10878 Waywood Way,4352,Queensland,Foss,Hardes,Male,13,1964-07-22,Recruiting Manager,Manufacturing,Yes,455,24,2017-08-16,1.0,Approved,Solex,Road,medium,large,1777.8,820.78,Foss Hardes,2017,8,16,Wednesday,2017Q3,58,957.02,50-59,4352 Queensland Australia,-27.4595003,151.9470976
1092,193,10878 Waywood Way,4352,Queensland,Foss,Hardes,Male,13,1964-07-22,Recruiting Manager,Manufacturing,Yes,1669,58,2017-07-04,1.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,Foss Hardes,2017,7,4,Tuesday,2017Q3,58,771.12,50-59,4352 Queensland Australia,-27.4595003,151.9470976
1093,193,10878 Waywood Way,4352,Queensland,Foss,Hardes,Male,13,1964-07-22,Recruiting Manager,Manufacturing,Yes,3880,20,2017-01-23,1.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,Foss Hardes,2017,1,23,Monday,2017Q1,58,195.33999999999992,50-59,4352 Queensland Australia,-27.4595003,151.9470976
1094,194,362 Mayer Terrace,4680,Queensland,Ursala,Ferrai,Female,4,1974-11-16,Web Developer,Financial Services,No,8483,11,2017-09-13,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,Ursala Ferrai,2017,9,13,Wednesday,2017Q3,48,509.97,40-49,4680 Queensland Australia,-23.8783576,151.2463137
1095,194,362 Mayer Terrace,4680,Queensland,Ursala,Ferrai,Female,4,1974-11-16,Web Developer,Financial Services,No,10258,12,2017-08-23,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,Ursala Ferrai,2017,8,23,Wednesday,2017Q3,48,1069.5500000000002,40-49,4680 Queensland Australia,-23.8783576,151.2463137
1096,194,362 Mayer Terrace,4680,Queensland,Ursala,Ferrai,Female,4,1974-11-16,Web Developer,Financial Services,No,8911,65,2017-02-09,0.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,Ursala Ferrai,2017,2,9,Thursday,2017Q1,48,1028.76,40-49,4680 Queensland Australia,-23.8783576,151.2463137
1097,195,43 Upham Crossing,3143,Victoria,Talyah,Rylatt,Female,34,1958-11-14,Project Manager,Manufacturing,No,15270,3,2017-12-30,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,Talyah Rylatt,2017,12,30,Saturday,2017Q4,64,1702.5499999999997,over 60,3143 Victoria Australia,-37.857253,145.0190242
1098,195,43 Upham Crossing,3143,Victoria,Talyah,Rylatt,Female,34,1958-11-14,Project Manager,Manufacturing,No,17424,21,2017-12-20,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74,Talyah Rylatt,2017,12,20,Wednesday,2017Q4,64,690.49,over 60,3143 Victoria Australia,-37.857253,145.0190242
1099,195,43 Upham Crossing,3143,Victoria,Talyah,Rylatt,Female,34,1958-11-14,Project Manager,Manufacturing,No,10620,43,2017-12-09,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,Talyah Rylatt,2017,12,9,Saturday,2017Q4,64,502.47,over 60,3143 Victoria Australia,-37.857253,145.0190242
1100,195,43 Upham Crossing,3143,Victoria,Talyah,Rylatt,Female,34,1958-11-14,Project Manager,Manufacturing,No,12742,57,2017-11-18,1.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,Talyah Rylatt,2017,11,18,Saturday,2017Q4,64,1630.25,over 60,3143 Victoria Australia,-37.857253,145.0190242
1101,195,43 Upham Crossing,3143,Victoria,Talyah,Rylatt,Female,34,1958-11-14,Project Manager,Manufacturing,No,8545,3,2017-05-24,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,Talyah Rylatt,2017,5,24,Wednesday,2017Q2,64,1702.5499999999997,over 60,3143 Victoria Australia,-37.857253,145.0190242
1102,195,43 Upham Crossing,3143,Victoria,Talyah,Rylatt,Female,34,1958-11-14,Project Manager,Manufacturing,No,13173,3,2017-03-29,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,Talyah Rylatt,2017,3,29,Wednesday,2017Q1,64,1702.5499999999997,over 60,3143 Victoria Australia,-37.857253,145.0190242
1103,195,43 Upham Crossing,3143,Victoria,Talyah,Rylatt,Female,34,1958-11-14,Project Manager,Manufacturing,No,13117,3,2017-03-08,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,Talyah Rylatt,2017,3,8,Wednesday,2017Q1,64,1702.5499999999997,over 60,3143 Victoria Australia,-37.857253,145.0190242
1104,196,0 Superior Drive,2747,New South Wales,Swen,Odhams,Male,90,1966-02-22,AnalystI,Manufacturing,No,17926,0,2017-08-06,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,Swen Odhams,2017,8,6,Sunday,2017Q3,57,91.15,50-59,2747 New South Wales Australia,-33.7568098,150.7330562
1105,196,0 Superior Drive,2747,New South Wales,Swen,Odhams,Male,90,1966-02-22,AnalystI,Manufacturing,No,13624,84,2017-05-22,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,Swen Odhams,2017,5,22,Monday,2017Q2,57,198.22000000000003,50-59,2747 New South Wales Australia,-33.7568098,150.7330562
1106,196,0 Superior Drive,2747,New South Wales,Swen,Odhams,Male,90,1966-02-22,AnalystI,Manufacturing,No,18560,91,2017-04-05,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,Swen Odhams,2017,4,5,Wednesday,2017Q2,57,128.45999999999992,50-59,2747 New South Wales Australia,-33.7568098,150.7330562
1107,196,0 Superior Drive,2747,New South Wales,Swen,Odhams,Male,90,1966-02-22,AnalystI,Manufacturing,No,12509,38,2017-03-31,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,Swen Odhams,2017,3,31,Friday,2017Q1,57,1702.5499999999997,50-59,2747 New South Wales Australia,-33.7568098,150.7330562
1108,196,0 Superior Drive,2747,New South Wales,Swen,Odhams,Male,90,1966-02-22,AnalystI,Manufacturing,No,18456,0,2017-02-18,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,Swen Odhams,2017,2,18,Saturday,2017Q1,57,17.869999999999997,50-59,2747 New South Wales Australia,-33.7568098,150.7330562
1109,196,0 Superior Drive,2747,New South Wales,Swen,Odhams,Male,90,1966-02-22,AnalystI,Manufacturing,No,15674,56,2017-02-16,0.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,Swen Odhams,2017,2,16,Thursday,2017Q1,57,75.75,50-59,2747 New South Wales Australia,-33.7568098,150.7330562
1110,196,0 Superior Drive,2747,New South Wales,Swen,Odhams,Male,90,1966-02-22,AnalystI,Manufacturing,No,14685,98,2017-02-04,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,Swen Odhams,2017,2,4,Saturday,2017Q1,57,693.76,50-59,2747 New South Wales Australia,-33.7568098,150.7330562
1111,196,0 Superior Drive,2747,New South Wales,Swen,Odhams,Male,90,1966-02-22,AnalystI,Manufacturing,No,16535,70,2017-01-18,0.0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,Swen Odhams,2017,1,18,Wednesday,2017Q1,57,830.2399999999999,50-59,2747 New South Wales Australia,-33.7568098,150.7330562
1121,198,5484 Hagan Crossing,3021,Victoria,Vanya,Gumb,Female,82,1981-11-29,Assistant,Entertainment,No,4567,38,2017-11-02,0.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,Vanya Gumb,2017,11,2,Thursday,2017Q4,41,751.02,40-49,3021 Victoria Australia,-37.7435941,144.8016402
1122,198,5484 Hagan Crossing,3021,Victoria,Vanya,Gumb,Female,82,1981-11-29,Assistant,Entertainment,No,7253,68,2017-10-02,0.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,Vanya Gumb,2017,10,2,Monday,2017Q4,41,1592.19,40-49,3021 Victoria Australia,-37.7435941,144.8016402
1123,198,5484 Hagan Crossing,3021,Victoria,Vanya,Gumb,Female,82,1981-11-29,Assistant,Entertainment,No,13164,27,2017-09-27,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,Vanya Gumb,2017,9,27,Wednesday,2017Q3,41,110.80999999999995,40-49,3021 Victoria Australia,-37.7435941,144.8016402
1124,198,5484 Hagan Crossing,3021,Victoria,Vanya,Gumb,Female,82,1981-11-29,Assistant,Entertainment,No,12381,51,2017-08-26,0.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,Vanya Gumb,2017,8,26,Saturday,2017Q3,41,802.26,40-49,3021 Victoria Australia,-37.7435941,144.8016402
1125,198,5484 Hagan Crossing,3021,Victoria,Vanya,Gumb,Female,82,1981-11-29,Assistant,Entertainment,No,15013,30,2017-08-16,1.0,Approved,Solex,Standard,high,medium,748.17,448.9,Vanya Gumb,2017,8,16,Wednesday,2017Q3,41,299.27,40-49,3021 Victoria Australia,-37.7435941,144.8016402
1126,198,5484 Hagan Crossing,3021,Victoria,Vanya,Gumb,Female,82,1981-11-29,Assistant,Entertainment,No,1186,96,2017-07-25,0.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,Vanya Gumb,2017,7,25,Tuesday,2017Q3,41,129.01,40-49,3021 Victoria Australia,-37.7435941,144.8016402
1127,198,5484 Hagan Crossing,3021,Victoria,Vanya,Gumb,Female,82,1981-11-29,Assistant,Entertainment,No,5133,10,2017-06-02,1.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,Vanya Gumb,2017,6,2,Friday,2017Q2,41,1103.43,40-49,3021 Victoria Australia,-37.7435941,144.8016402
1128,198,5484 Hagan Crossing,3021,Victoria,Vanya,Gumb,Female,82,1981-11-29,Assistant,Entertainment,No,15856,37,2017-04-08,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,Vanya Gumb,2017,4,8,Saturday,2017Q2,41,1544.6100000000001,40-49,3021 Victoria Australia,-37.7435941,144.8016402
1129,198,5484 Hagan Crossing,3021,Victoria,Vanya,Gumb,Female,82,1981-11-29,Assistant,Entertainment,No,7097,30,2017-02-25,1.0,Approved,Solex,Standard,high,medium,748.17,448.9,Vanya Gumb,2017,2,25,Saturday,2017Q1,41,299.27,40-49,3021 Victoria Australia,-37.7435941,144.8016402
1130,199,7451 Jana Lane,2138,New South Wales,Verla,Alven,Female,61,1978-02-13,Junior Executive,Health,Yes,6290,25,2017-12-15,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,Verla Alven,2017,12,15,Friday,2017Q4,45,709.34,40-49,2138 New South Wales Australia,-33.8462611,151.0908086
1131,199,7451 Jana Lane,2138,New South Wales,Verla,Alven,Female,61,1978-02-13,Junior Executive,Health,Yes,11641,70,2017-09-02,1.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,Verla Alven,2017,9,2,Saturday,2017Q3,45,198.29000000000002,40-49,2138 New South Wales Australia,-33.8462611,151.0908086
1132,199,7451 Jana Lane,2138,New South Wales,Verla,Alven,Female,61,1978-02-13,Junior Executive,Health,Yes,4090,37,2017-06-29,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,Verla Alven,2017,6,29,Thursday,2017Q2,45,1544.6100000000001,40-49,2138 New South Wales Australia,-33.8462611,151.0908086
1133,199,7451 Jana Lane,2138,New South Wales,Verla,Alven,Female,61,1978-02-13,Junior Executive,Health,Yes,17774,70,2017-02-06,1.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,Verla Alven,2017,2,6,Monday,2017Q1,45,198.29000000000002,40-49,2138 New South Wales Australia,-33.8462611,151.0908086
1134,200,7 Havey Point,4005,Queensland,Hube,Weald,Male,7,1957-02-04,Physical Therapy Assistant,Property,Yes,18976,67,2017-12-23,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,Hube Weald,2017,12,23,Saturday,2017Q4,66,167.20999999999998,over 60,4005 Queensland Australia,-27.4655769,153.0471371
1135,200,7 Havey Point,4005,Queensland,Hube,Weald,Male,7,1957-02-04,Physical Therapy Assistant,Property,Yes,10988,10,2017-11-15,1.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,Hube Weald,2017,11,15,Wednesday,2017Q4,66,1103.43,over 60,4005 Queensland Australia,-27.4655769,153.0471371
1136,200,7 Havey Point,4005,Queensland,Hube,Weald,Male,7,1957-02-04,Physical Therapy Assistant,Property,Yes,5438,31,2017-11-02,0.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,Hube Weald,2017,11,2,Thursday,2017Q4,66,57.72999999999999,over 60,4005 Queensland Australia,-27.4655769,153.0471371
1137,200,7 Havey Point,4005,Queensland,Hube,Weald,Male,7,1957-02-04,Physical Therapy Assistant,Property,Yes,18669,55,2017-10-25,0.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,Hube Weald,2017,10,25,Wednesday,2017Q4,66,1295.43,over 60,4005 Queensland Australia,-27.4655769,153.0471371
1138,200,7 Havey Point,4005,Queensland,Hube,Weald,Male,7,1957-02-04,Physical Therapy Assistant,Property,Yes,7791,37,2017-07-17,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,Hube Weald,2017,7,17,Monday,2017Q3,66,1544.6100000000001,over 60,4005 Queensland Australia,-27.4655769,153.0471371
1139,200,7 Havey Point,4005,Queensland,Hube,Weald,Male,7,1957-02-04,Physical Therapy Assistant,Property,Yes,17209,3,2017-06-06,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,Hube Weald,2017,6,6,Tuesday,2017Q2,66,1702.5499999999997,over 60,4005 Queensland Australia,-27.4655769,153.0471371
1140,200,7 Havey Point,4005,Queensland,Hube,Weald,Male,7,1957-02-04,Physical Therapy Assistant,Property,Yes,2399,32,2017-04-18,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,Hube Weald,2017,4,18,Tuesday,2017Q2,66,431.33000000000004,over 60,4005 Queensland Australia,-27.4655769,153.0471371
1141,200,7 Havey Point,4005,Queensland,Hube,Weald,Male,7,1957-02-04,Physical Therapy Assistant,Property,Yes,4361,11,2017-03-15,0.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,Hube Weald,2017,3,15,Wednesday,2017Q1,66,509.97,over 60,4005 Queensland Australia,-27.4655769,153.0471371
1142,200,7 Havey Point,4005,Queensland,Hube,Weald,Male,7,1957-02-04,Physical Therapy Assistant,Property,Yes,3003,87,2017-02-15,1.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,Hube Weald,2017,2,15,Wednesday,2017Q1,66,471.6,over 60,4005 Queensland Australia,-27.4655769,153.0471371
1143,201,32 Steensland Plaza,2233,New South Wales,Salem,Huie,Male,45,1966-04-20,Design Engineer,Manufacturing,Yes,2709,47,2017-12-02,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,Salem Huie,2017,12,2,Saturday,2017Q4,57,189.27999999999997,50-59,2233 New South Wales Australia,-34.1193032,151.0704263
1144,201,32 Steensland Plaza,2233,New South Wales,Salem,Huie,Male,45,1966-04-20,Design Engineer,Manufacturing,Yes,14801,98,2017-09-05,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,Salem Huie,2017,9,5,Tuesday,2017Q3,57,143.35999999999999,50-59,2233 New South Wales Australia,-34.1193032,151.0704263
1145,201,32 Steensland Plaza,2233,New South Wales,Salem,Huie,Male,45,1966-04-20,Design Engineer,Manufacturing,Yes,6033,32,2017-08-15,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,Salem Huie,2017,8,15,Tuesday,2017Q3,57,431.33000000000004,50-59,2233 New South Wales Australia,-34.1193032,151.0704263
1146,201,32 Steensland Plaza,2233,New South Wales,Salem,Huie,Male,45,1966-04-20,Design Engineer,Manufacturing,Yes,8423,15,2017-07-13,0.0,Cancelled,Norco Bicycles,Standard,low,medium,958.74,748.9,Salem Huie,2017,7,13,Thursday,2017Q3,57,209.84000000000003,50-59,2233 New South Wales Australia,-34.1193032,151.0704263
1147,201,32 Steensland Plaza,2233,New South Wales,Salem,Huie,Male,45,1966-04-20,Design Engineer,Manufacturing,Yes,14472,45,2017-05-04,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99,Salem Huie,2017,5,4,Thursday,2017Q2,57,356.5,50-59,2233 New South Wales Australia,-34.1193032,151.0704263
1148,201,32 Steensland Plaza,2233,New South Wales,Salem,Huie,Male,45,1966-04-20,Design Engineer,Manufacturing,Yes,3101,83,2017-03-21,1.0,Approved,Solex,Touring,medium,large,2083.94,675.03,Salem Huie,2017,3,21,Tuesday,2017Q1,57,1408.91,50-59,2233 New South Wales Australia,-34.1193032,151.0704263
1149,201,32 Steensland Plaza,2233,New South Wales,Salem,Huie,Male,45,1966-04-20,Design Engineer,Manufacturing,Yes,18205,88,2017-03-09,1.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,Salem Huie,2017,3,9,Thursday,2017Q1,57,817.36,50-59,2233 New South Wales Australia,-34.1193032,151.0704263
1150,201,32 Steensland Plaza,2233,New South Wales,Salem,Huie,Male,45,1966-04-20,Design Engineer,Manufacturing,Yes,11804,48,2017-01-04,1.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,Salem Huie,2017,1,4,Wednesday,2017Q1,57,812.44,50-59,2233 New South Wales Australia,-34.1193032,151.0704263
1151,202,107 Elmside Parkway,4811,Queensland,Audie,Pillinger,Female,38,1963-06-24,Librarian,Entertainment,Yes,7144,58,2017-12-12,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,Audie Pillinger,2017,12,12,Tuesday,2017Q4,60,771.12,over 60,4811 Queensland Australia,-19.360968,146.8198691
1152,202,107 Elmside Parkway,4811,Queensland,Audie,Pillinger,Female,38,1963-06-24,Librarian,Entertainment,Yes,3027,17,2017-11-28,0.0,Approved,Solex,Standard,high,medium,1024.66,614.8,Audie Pillinger,2017,11,28,Tuesday,2017Q4,60,409.8600000000001,over 60,4811 Queensland Australia,-19.360968,146.8198691
1153,202,107 Elmside Parkway,4811,Queensland,Audie,Pillinger,Female,38,1963-06-24,Librarian,Entertainment,Yes,5161,5,2017-06-25,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,Audie Pillinger,2017,6,25,Sunday,2017Q2,60,114.93,over 60,4811 Queensland Australia,-19.360968,146.8198691
1154,203,2 Gina Junction,2085,New South Wales,Donovan,Conry,Male,71,1964-01-13,Senior Quality Engineer,Argiculture,Yes,19442,17,2017-12-19,1.0,Approved,Solex,Standard,high,medium,1024.66,614.8,Donovan Conry,2017,12,19,Tuesday,2017Q4,59,409.8600000000001,50-59,2085 New South Wales Australia,-33.7293236,151.2044159
1155,203,2 Gina Junction,2085,New South Wales,Donovan,Conry,Male,71,1964-01-13,Senior Quality Engineer,Argiculture,Yes,18778,32,2017-09-19,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,Donovan Conry,2017,9,19,Tuesday,2017Q3,59,431.33000000000004,50-59,2085 New South Wales Australia,-33.7293236,151.2044159
1156,203,2 Gina Junction,2085,New South Wales,Donovan,Conry,Male,71,1964-01-13,Senior Quality Engineer,Argiculture,Yes,6074,22,2017-05-05,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,Donovan Conry,2017,5,5,Friday,2017Q2,59,15.080000000000005,50-59,2085 New South Wales Australia,-33.7293236,151.2044159
1157,203,2 Gina Junction,2085,New South Wales,Donovan,Conry,Male,71,1964-01-13,Senior Quality Engineer,Argiculture,Yes,17207,36,2017-01-27,1.0,Approved,Solex,Standard,low,medium,945.04,507.58,Donovan Conry,2017,1,27,Friday,2017Q1,59,437.46,50-59,2085 New South Wales Australia,-33.7293236,151.2044159
1158,203,2 Gina Junction,2085,New South Wales,Donovan,Conry,Male,71,1964-01-13,Senior Quality Engineer,Argiculture,Yes,14214,8,2017-01-05,1.0,Approved,Solex,Road,medium,small,1703.52,1516.13,Donovan Conry,2017,1,5,Thursday,2017Q1,59,187.38999999999987,50-59,2085 New South Wales Australia,-33.7293236,151.2044159
